Performer,Tempo (BPM),Timing Variability (CV),Dynamic Range (dB),Loudness Variation,Staccato Tendency,Articulation Clarity,Vibrato Depth (Hz),Vibrato Prevalence,Tone Brightness (Hz),Tone Richness,Attack Sharpness,Attack Consistency,Sustain Length (s),Sustain Consistency,Rubato Coefficient,Agogic Accent Frequency
郎朗 (Lang Lang),356.7864307104975,0.20428411018293832,0,0.19406204,34.712837,0.9183012,45.099570627265486,0.2532130035893274,737.3567879066061,19.2735835718119,0.17110052943700885,-0.44087074136639925,0.16816783048760345,0.7957158899385376,0.20428411018293832,0.28874172185430463
李云迪 (Li Yundi),328.8328244304426,0.3190339833200566,0,0.13343087,8.853561,1.1512154,38.50794176314079,0.12013074392988239,839.907093404812,20.29698806880763,0.1909128237896735,-0.5943149571742536,0.1824635363088325,0.680966016854794,0.3190339833200566,0.25658536585365854
沈文裕 (Shen Wenyu),344.8946997668092,0.25018653829487986,0,0.20916942,8.088626,0.8772424,56.431315712406246,0.047157990165422846,1598.1008893260648,19.55657169270574,0.19853888353018248,-0.7926070694092622,0.17396614108760533,0.7498134618489312,0.25018653829487986,0.26206322795341097
