Performer,Estimated Tempo (BPM),Tempo Deviation (%),RMS Mean,RMS Std Dev,Dynamic Range,Spectral Centroid (Hz),Timing CV,Duration (s)
郎朗 (Lang Lang),351.1138545192254,290.1265050213616,0.04193711,0.04609884,0.3169124,866.7984880414309,0.39918829228056774,193.088
李云迪 (Li Yundi),362.56275673208586,302.84750748009543,0.0350585,0.037986465,0.2908203,809.4719300601485,0.7954379932885499,228.12445833333334
沈文裕 (Shen Wenyu),366.9108140256516,307.67868225072397,0.0527383,0.020325115,0.16129883,1205.0292815129308,0.20262729880631974,140.41598639455782
