Performer,Duration (s),Avg RMS,RMS Std,Avg Spectral Centroid (Hz),Estimated Tempo (BPM),IOI Consistency (CV)
郎朗 (Lang Lang),193.088,0.042540524,0.046581443,852.4824436325761,351.1138545192254,0.39918829228056774
李云迪 (Li Yundi),228.12445833333334,0.034912027,0.03895623,818.3781542416684,362.56275673208586,0.7954379932885499
沈文裕 (Shen Wenyu),140.41598639455782,0.05251882,0.0202095,1216.051547993528,366.9108140256516,0.20262729880631974
