Performer,Duration (s),Normalized RMS,RMS Envelope Mean,RMS Envelope Std,Dynamic Range (mV),Estimated Tempo (BPM),Tempo Deviation (%),Timing CV,Spectral Centroid Mean (Hz),Spectral Centroid Std (Hz)
郎朗 (Lang Lang),127.30195011337868,0.050000012,0.03730629,0.033285733,170.58905,184.80663812419974,105.34070902688859,0.1980698914316354,754.3778231088536,176.18611395499346
李云迪 (Li Yundi),185.9918367346939,0.05,0.036260433,0.034421828,230.90791,174.4625609527382,93.84728994748687,0.2767785412429025,771.5835966267622,171.4907982704772
沈文裕 (Shen Wenyu),209.17174603174604,0.049999814,0.041631717,0.027687185,125.75747,181.3926607797401,101.5474008663779,0.21875039543152386,1294.0930415788584,571.1617416814917
